sn,batch,section,id,en_url,pt_url,en_extracted,ui_sweep,pt_copy,route,gated,seo_meta,verify,browser_qa,status,notes
26,6,Tools,image-color-picker,http://localhost:3002/image-color-picker,http://localhost:3002/pt/seletor-de-cores,done,done,done,done,done,done,done,done,done,
27,6,Tools,image-to-base64,http://localhost:3002/image-to-base64,http://localhost:3002/pt/imagem-para-base64,done,done,done,done,done,done,done,done,done,
28,6,Tools,base64-to-image,http://localhost:3002/base64-to-image,http://localhost:3002/pt/base64-para-imagem,done,done,done,done,done,done,done,done,done,
29,6,Tools,image-metadata,http://localhost:3002/image-metadata,http://localhost:3002/pt/ver-metadados-imagem,done,done,done,done,done,done,done,done,done,
30,6,Tools,remove-exif,http://localhost:3002/remove-exif,http://localhost:3002/pt/remover-exif,done,done,done,done,done,done,done,done,done,
31,7,Tools,heic-to-png,http://localhost:3002/heic-to-png,http://localhost:3002/pt/heic-para-png,done,done,done,done,done,done,done,done,done,
32,7,Tools,webp-to-png,http://localhost:3002/webp-to-png,http://localhost:3002/pt/webp-para-png,n/a,done,done,done,done,done,done,done,done,
33,7,Tools,webp-to-jpg,http://localhost:3002/webp-to-jpg,http://localhost:3002/pt/webp-para-jpg,n/a,done,done,done,done,done,done,done,done,
34,7,Tools,jpg-to-webp,http://localhost:3002/jpg-to-webp,http://localhost:3002/pt/jpg-para-webp,n/a,done,done,done,done,done,done,done,done,
35,7,Tools,png-to-webp,http://localhost:3002/png-to-webp,http://localhost:3002/pt/png-para-webp,n/a,done,done,done,done,done,done,done,done,
36,8,Tools,jfif-to-jpg,http://localhost:3002/jfif-to-jpg,http://localhost:3002/pt/jfif-para-jpg,n/a,done,done,done,done,done,done,done,done,
37,8,Tools,gif-to-png,http://localhost:3002/gif-to-png,http://localhost:3002/pt/gif-para-png,n/a,done,done,done,done,done,done,done,done,
38,8,Tools,gif-to-jpg,http://localhost:3002/gif-to-jpg,http://localhost:3002/pt/gif-para-jpg,n/a,done,done,done,done,done,done,done,done,
39,8,Tools,bmp-to-jpg,http://localhost:3002/bmp-to-jpg,http://localhost:3002/pt/bmp-para-jpg,n/a,done,done,done,done,done,done,done,done,
40,8,Tools,avif-to-jpg,http://localhost:3002/avif-to-jpg,http://localhost:3002/pt/avif-para-jpg,n/a,done,done,done,done,done,done,done,done,
41,9,Tools,avif-to-png,http://localhost:3002/avif-to-png,http://localhost:3002/pt/avif-para-png,n/a,done,done,done,done,done,done,done,done,
42,9,Hub,/image-converter,http://localhost:3002/image-converter,http://localhost:3002/pt/conversor-de-imagens,n/a,todo,todo,done,done,todo,todo,todo,todo,
43,9,Pages,/contact,http://localhost:3002/contact,http://localhost:3002/pt/contato,n/a,todo,todo,done,done,todo,todo,todo,todo,
44,9,Pages,/pricing,http://localhost:3002/pricing,http://localhost:3002/pt/precos,n/a,todo,todo,done,done,todo,todo,todo,todo,
45,9,Legal,/cookies,http://localhost:3002/cookies,http://localhost:3002/pt/cookies,n/a,todo,todo,done,done,todo,todo,todo,todo,
46,10,Legal,/privacy,http://localhost:3002/privacy,http://localhost:3002/pt/privacidade,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
47,10,Legal,/terms,http://localhost:3002/terms,http://localhost:3002/pt/termos,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
48,10,Legal,/refunds,http://localhost:3002/refunds,http://localhost:3002/pt/reembolsos,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
49,10,Account,/login,http://localhost:3002/login,http://localhost:3002/pt/entrar,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
50,10,Account,/signup,http://localhost:3002/signup,http://localhost:3002/pt/criar-conta,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
51,11,Account,/forgot-password,http://localhost:3002/forgot-password,http://localhost:3002/pt/esqueci-a-senha,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
52,11,Account,/reset-password,http://localhost:3002/reset-password,http://localhost:3002/pt/redefinir-senha,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
53,11,Account,/account,http://localhost:3002/account,http://localhost:3002/pt/conta,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
54,11,Account,/dashboard,http://localhost:3002/dashboard,http://localhost:3002/pt/painel,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
