sn,batch,section,id,en_url,ru_url,en_extracted,ui_sweep,ru_copy,route,gated,seo_meta,verify,browser_qa,status,notes
21,5,Tools,webp-to-jpg,http://localhost:3002/webp-to-jpg,http://localhost:3002/ru/webp-to-jpg,n/a,done,done,done,done,done,done,done,done,
22,5,Tools,jpg-to-webp,http://localhost:3002/jpg-to-webp,http://localhost:3002/ru/jpg-to-webp,n/a,done,done,done,done,done,done,done,done,
23,5,Tools,png-to-webp,http://localhost:3002/png-to-webp,http://localhost:3002/ru/png-to-webp,n/a,done,done,done,done,done,done,done,done,
24,5,Tools,jfif-to-jpg,http://localhost:3002/jfif-to-jpg,http://localhost:3002/ru/jfif-to-jpg,n/a,done,done,done,done,done,done,done,done,
25,6,Tools,gif-to-png,http://localhost:3002/gif-to-png,http://localhost:3002/ru/gif-to-png,n/a,done,done,done,done,done,done,done,done,
26,6,Tools,gif-to-jpg,http://localhost:3002/gif-to-jpg,http://localhost:3002/ru/gif-to-jpg,n/a,done,done,done,done,done,done,done,done,
27,6,Tools,bmp-to-jpg,http://localhost:3002/bmp-to-jpg,http://localhost:3002/ru/bmp-to-jpg,n/a,done,done,done,done,done,done,done,done,
28,6,Tools,avif-to-jpg,http://localhost:3002/avif-to-jpg,http://localhost:3002/ru/avif-to-jpg,n/a,done,done,done,done,done,done,done,done,
29,6,Tools,avif-to-png,http://localhost:3002/avif-to-png,http://localhost:3002/ru/avif-to-png,n/a,done,done,done,done,done,done,done,done,
30,7,Tools,rotate-image,http://localhost:3002/rotate-image,http://localhost:3002/ru/rotate-image,done,done,done,done,done,done,done,done,done,
31,7,Tools,heic-to-png,http://localhost:3002/heic-to-png,http://localhost:3002/ru/heic-to-png,done,done,done,done,done,done,done,done,done,
32,7,Tools,image-to-base64,http://localhost:3002/image-to-base64,http://localhost:3002/ru/image-to-base64,done,done,done,done,done,done,done,done,done,
33,7,Tools,png-to-jpg,http://localhost:3002/png-to-jpg,http://localhost:3002/ru/png-to-jpg,done,done,done,done,done,done,done,done,done,
34,7,Tools,remove-exif,http://localhost:3002/remove-exif,http://localhost:3002/ru/remove-exif,done,done,done,done,done,done,done,done,done,
35,8,Tools,base64-to-image,http://localhost:3002/base64-to-image,http://localhost:3002/ru/base64-to-image,done,done,done,done,done,done,done,done,done,
36,8,Tools,jpg-to-png,http://localhost:3002/jpg-to-png,http://localhost:3002/ru/jpg-to-png,done,done,done,done,done,done,done,done,done,
37,8,Tools,circle-crop,http://localhost:3002/circle-crop,http://localhost:3002/ru/circle-crop,done,done,done,done,done,done,done,done,done,
38,8,Tools,gif-to-images,http://localhost:3002/gif-to-images,http://localhost:3002/ru/gif-to-images,done,done,done,done,done,done,done,done,done,
39,8,Tools,meme-generator,http://localhost:3002/meme-generator,http://localhost:3002/ru/meme-generator,done,done,done,done,done,done,done,done,done,
40,9,Tools,gif-maker,http://localhost:3002/gif-maker,http://localhost:3002/ru/gif-maker,done,done,done,done,done,done,done,done,done,
41,9,Tools,watermark-image,http://localhost:3002/watermark-image,http://localhost:3002/ru/watermark-image,done,done,done,done,done,done,done,done,done,
42,9,Tools,add-border,http://localhost:3002/add-border,http://localhost:3002/ru/add-border,done,done,done,done,done,done,done,done,done,
43,10,Tools,html-to-image,http://localhost:3002/html-to-image,http://localhost:3002/ru/html-to-image,done,done,done,done,done,done,done,done,done,
44,10,Tools,image-metadata,http://localhost:3002/image-metadata,http://localhost:3002/ru/image-metadata,done,done,done,done,done,done,done,done,done,
45,10,Tools,blur-face,http://localhost:3002/blur-face,http://localhost:3002/ru/blur-face,done,done,done,done,done,done,done,done,done,
46,11,Pages,/contact,http://localhost:3002/contact,http://localhost:3002/ru/contact,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
47,11,Hub,/image-converter,http://localhost:3002/image-converter,http://localhost:3002/ru/image-converter,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
48,11,Pages,/pricing,http://localhost:3002/pricing,http://localhost:3002/ru/pricing,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
49,11,Account,/login,http://localhost:3002/login,http://localhost:3002/ru/login,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
50,11,Account,/signup,http://localhost:3002/signup,http://localhost:3002/ru/signup,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
51,12,Account,/forgot-password,http://localhost:3002/forgot-password,http://localhost:3002/ru/forgot-password,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
52,12,Account,/reset-password,http://localhost:3002/reset-password,http://localhost:3002/ru/reset-password,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
53,12,Account,/account,http://localhost:3002/account,http://localhost:3002/ru/account,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
54,12,Account,/dashboard,http://localhost:3002/dashboard,http://localhost:3002/ru/dashboard,n/a,todo,todo,todo,todo,todo,todo,todo,todo,
